date,month,ID,season,hr,rep,gender,species,count,Veg,vgt
1/28/2020,Enero,1,norte,13:00,B1,Aedes,Ae.taeniorhynchus,252,SMMG,2
1/28/2020,Enero,1,norte,13:00,B2,Aedes,Ae.taeniorhynchus,335,SMMG,2
1/28/2020,Enero,1,norte,13:00,B3,Aedes,Ae.taeniorhynchus,154,SMMG,2
1/28/2020,Enero,1,norte,13:00,B1,Aedes,Ae.angustivitattus,1,SMMG,2
1/28/2020,Enero,1,norte,13:00,B2,Aedes,Ae.angustivitattus,1,SMMG,2
1/28/2020,Enero,1,norte,13:00,B3,Aedes,Ae.angustivitattus,1,SMMG,2
1/28/2020,Enero,1,norte,13:00,B1,Aedes,Ae.serratus,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B2,Aedes,Ae.serratus,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B3,Aedes,Ae.serratus,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B1,Aedes,Ae.egypti,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B2,Aedes,Ae.egypti,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B3,Aedes,Ae.egypti,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B1,Aedes,Ae.scapularis,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B2,Aedes,Ae.scapularis,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B3,Aedes,Ae.scapularis,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B1,Aedes,Ae.fulvus,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B2,Aedes,Ae.fulvus,0,SMMG,2
1/28/2020,Enero,1,norte,13:00,B3,Aedes,Ae.fulvus,0,SMMG,2
1/28/2020,Enero,1,norte,17:00,B1,Aedes,Ae.taeniorhynchus,112,MGSM,3
1/28/2020,Enero,1,norte,17:00,B2,Aedes,Ae.taeniorhynchus,236,MGSM,3
1/28/2020,Enero,1,norte,17:00,B3,Aedes,Ae.taeniorhynchus,185,MGSM,3
1/28/2020,Enero,1,norte,17:00,B1,Aedes,Ae.angustivitattus,1,MGSM,3
1/28/2020,Enero,1,norte,17:00,B2,Aedes,Ae.angustivitattus,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B3,Aedes,Ae.angustivitattus,4,MGSM,3
1/28/2020,Enero,1,norte,17:00,B1,Aedes,Ae.serratus,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B2,Aedes,Ae.serratus,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B3,Aedes,Ae.serratus,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B1,Aedes,Ae.egypti,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B2,Aedes,Ae.egypti,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B3,Aedes,Ae.egypti,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B1,Aedes,Ae.scapularis,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B2,Aedes,Ae.scapularis,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B3,Aedes,Ae.scapularis,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B1,Aedes,Ae.fulvus,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B2,Aedes,Ae.fulvus,0,MGSM,3
1/28/2020,Enero,1,norte,17:00,B3,Aedes,Ae.fulvus,0,MGSM,3
1/28/2020,Enero,1,norte,21:00,B1,Aedes,Ae.taeniorhynchus,88,SMMG,2
1/28/2020,Enero,1,norte,21:00,B2,Aedes,Ae.taeniorhynchus,110,SMMG,2
1/28/2020,Enero,1,norte,21:00,B3,Aedes,Ae.taeniorhynchus,58,SMMG,2
1/28/2020,Enero,1,norte,21:00,B1,Aedes,Ae.angustivitattus,0,SMMG,2
1/28/2020,Enero,1,norte,21:00,B2,Aedes,Ae.angustivitattus,0,SMMG,2
1/28/2020,Enero,1,norte,21:00,B3,Aedes,Ae.angustivitattus,0,SMMG,2
1/28/2020,Enero,1,norte,21:00,B1,Aedes,Ae.serratus,0,SMMG,2
